Global Stock Index Fund

Date,NAV
"""27/06/2014""","""15.4344"""
"""26/06/2014""","""15.4597"""
"""25/06/2014""","""15.4145"""
"""24/06/2014""","""15.4513"""
"""23/06/2014""","""15.5317"""
"""20/06/2014""","""15.5591"""
"""19/06/2014""","""15.5034"""
"""18/06/2014""","""15.4757"""
"""17/06/2014""","""15.4254"""
"""16/06/2014""","""15.3806"""
"""13/06/2014""","""15.4306"""
"""12/06/2014""","""15.3891"""
"""11/06/2014""","""15.4596"""
"""10/06/2014""","""15.4779"""
"""09/06/2014""","""15.4304"""
"""06/06/2014""","""15.3649"""
"""05/06/2014""","""15.3119"""
"""04/06/2014""","""15.2343"""
"""03/06/2014""","""15.2160"""
"""02/06/2014""","""15.2430"""
"""30/05/2014""","""15.1802"""
"""29/05/2014""","""15.1964"""
"""28/05/2014""","""15.1521"""
"""27/05/2014""","""15.1446"""
"""26/05/2014""","""15.0628"""
"""23/05/2014""","""15.0387"""
"""22/05/2014""","""14.9610"""
"""21/05/2014""","""14.8991"""
"""20/05/2014""","""14.7878"""
"""19/05/2014""","""14.8296"""
"""16/05/2014""","""14.8243"""
"""15/05/2014""","""14.7969"""
"""14/05/2014""","""14.9099"""
"""13/05/2014""","""14.9343"""
"""12/05/2014""","""14.8514"""
"""09/05/2014""","""14.7453"""
"""08/05/2014""","""14.6588"""
"""07/05/2014""","""14.5692"""
"""06/05/2014""","""14.5483"""
"""05/05/2014""","""14.6590"""
"""02/05/2014""","""14.6629"""
"""01/05/2014""","""14.6723"""
"""30/04/2014""","""14.6488"""
"""29/04/2014""","""14.6492"""
"""28/04/2014""","""14.5351"""
"""25/04/2014""","""14.5250"""
"""24/04/2014""","""14.6329"""
"""23/04/2014""","""14.6054"""
"""22/04/2014""","""14.6615"""
"""21/04/2014""","""14.5690"""
"""17/04/2014""","""14.5137"""
"""16/04/2014""","""14.5002"""
"""15/04/2014""","""14.3234"""
"""14/04/2014""","""14.3107"""
"""11/04/2014""","""14.1820"""
"""10/04/2014""","""14.3405"""
"""09/04/2014""","""14.5652"""
"""08/04/2014""","""14.4947"""
"""07/04/2014""","""14.5089"""
"""04/04/2014""","""14.7090"""
"""03/04/2014""","""14.7608"""
"""02/04/2014""","""14.7250"""
"""01/04/2014""","""14.6623"""
"""31/03/2014""","""14.5888"""
"""28/03/2014""","""14.5155"""
"""27/03/2014""","""14.4525"""
"""26/03/2014""","""14.4033"""
"""25/03/2014""","""14.4221"""
"""24/03/2014""","""14.3306"""
"""21/03/2014""","""14.3956"""
"""20/03/2014""","""14.4015"""
"""19/03/2014""","""14.3024"""
"""18/03/2014""","""14.3623"""
"""17/03/2014""","""14.2483"""
"""14/03/2014""","""14.1392"""
"""13/03/2014""","""14.2278"""
"""12/03/2014""","""14.3697"""
"""11/03/2014""","""14.4611"""
"""10/03/2014""","""14.4849"""
"""07/03/2014""","""14.5434"""
"""06/03/2014""","""14.6085"""
