Euro Investment Grade Bond Index Fund

Date,NAV
"""04/03/2014""","""181.8455"""
"""03/03/2014""","""181.8905"""
"""28/02/2014""","""181.5445"""
"""27/02/2014""","""181.9524"""
"""26/02/2014""","""181.6348"""
"""25/02/2014""","""181.3476"""
"""24/02/2014""","""181.1725"""
"""21/02/2014""","""181.1953"""
"""20/02/2014""","""180.9848"""
"""19/02/2014""","""181.2256"""
"""18/02/2014""","""181.1217"""
"""17/02/2014""","""181.0039"""
"""14/02/2014""","""180.9358"""
"""13/02/2014""","""181.0111"""
"""12/02/2014""","""180.7384"""
"""11/02/2014""","""180.8810"""
"""10/02/2014""","""180.7947"""
"""07/02/2014""","""180.8461"""
"""06/02/2014""","""180.4934"""
"""05/02/2014""","""180.8470"""
"""04/02/2014""","""180.7484"""
"""03/02/2014""","""180.6787"""
"""31/01/2014""","""180.6392"""
"""30/01/2014""","""180.3142"""
"""29/01/2014""","""180.1623"""
"""28/01/2014""","""179.9924"""
"""27/01/2014""","""179.9684"""
"""24/01/2014""","""180.0250"""
"""23/01/2014""","""179.9003"""
"""22/01/2014""","""179.7587"""
"""21/01/2014""","""179.8396"""
"""20/01/2014""","""179.7988"""
"""17/01/2014""","""179.6471"""
"""16/01/2014""","""179.4307"""
"""15/01/2014""","""179.0750"""
"""14/01/2014""","""179.1900"""
"""13/01/2014""","""179.2406"""
"""10/01/2014""","""178.9767"""
"""09/01/2014""","""178.6296"""
"""08/01/2014""","""178.6116"""
"""07/01/2014""","""178.7928"""
"""06/01/2014""","""178.6445"""
"""03/01/2014""","""178.3100"""
"""02/01/2014""","""178.2186"""
"""31/12/2013""","""178.2417"""
"""30/12/2013""","""178.2284"""
"""27/12/2013""","""178.0436"""
"""26/12/2013""","""178.4346"""
"""24/12/2013""","""178.4056"""
"""23/12/2013""","""178.3909"""
"""20/12/2013""","""178.4600"""
"""19/12/2013""","""178.4755"""
"""18/12/2013""","""178.5320"""
"""17/12/2013""","""178.6172"""
"""16/12/2013""","""178.5191"""
"""13/12/2013""","""178.4827"""
"""12/12/2013""","""178.3672"""
"""11/12/2013""","""178.4649"""
"""10/12/2013""","""178.4363"""
"""09/12/2013""","""178.3550"""
"""06/12/2013""","""178.3067"""
"""05/12/2013""","""178.2518"""
"""04/12/2013""","""178.5750"""
"""03/12/2013""","""179.0471"""
"""02/12/2013""","""178.9376"""
"""29/11/2013""","""179.1180"""
"""28/11/2013""","""179.0282"""
"""27/11/2013""","""179.0325"""
"""26/11/2013""","""179.0616"""
"""25/11/2013""","""178.8955"""
"""22/11/2013""","""178.6562"""
"""21/11/2013""","""178.7487"""
"""20/11/2013""","""178.8784"""
"""19/11/2013""","""178.7616"""
"""18/11/2013""","""178.9712"""
"""15/11/2013""","""178.7933"""
"""14/11/2013""","""178.8244"""
"""13/11/2013""","""178.6709"""
"""12/11/2013""","""178.4185"""
"""11/11/2013""","""178.5369"""
"""08/11/2013""","""178.4844"""
"""07/11/2013""","""178.9378"""
"""06/11/2013""","""178.3484"""
"""05/11/2013""","""178.3002"""
"""04/11/2013""","""178.7375"""
"""01/11/2013""","""178.6515"""
"""31/10/2013""","""178.6283"""
"""30/10/2013""","""178.3851"""
